description,command
allow incoming TCP traffic on port 493,iptables -A INPUT -p tcp --dport 493 -j ACCEPT <eos>
allow incoming TCP traffic on port 494,iptables -A INPUT -p tcp --dport 494 -j ACCEPT <eos>
allow incoming TCP traffic on port 495,iptables -A INPUT -p tcp --dport 495 -j ACCEPT <eos>
allow incoming TCP traffic on port 496,iptables -A INPUT -p tcp --dport 496 -j ACCEPT <eos>
allow incoming TCP traffic on port 497,iptables -A INPUT -p tcp --dport 497 -j ACCEPT <eos>
allow incoming TCP traffic on port 498,iptables -A INPUT -p tcp --dport 498 -j ACCEPT <eos>
allow incoming TCP traffic on port 499,iptables -A INPUT -p tcp --dport 499 -j ACCEPT <eos>
allow incoming TCP traffic on port 500,iptables -A INPUT -p tcp --dport 500 -j ACCEPT <eos>
allow incoming TCP traffic on port 501,iptables -A INPUT -p tcp --dport 501 -j ACCEPT <eos>
allow incoming TCP traffic on port 502,iptables -A INPUT -p tcp --dport 502 -j ACCEPT <eos>
allow incoming TCP traffic on port 503,iptables -A INPUT -p tcp --dport 503 -j ACCEPT <eos>
allow incoming TCP traffic on port 504,iptables -A INPUT -p tcp --dport 504 -j ACCEPT <eos>
allow incoming TCP traffic on port 505,iptables -A INPUT -p tcp --dport 505 -j ACCEPT <eos>
allow incoming TCP traffic on port 506,iptables -A INPUT -p tcp --dport 506 -j ACCEPT <eos>
allow incoming TCP traffic on port 507,iptables -A INPUT -p tcp --dport 507 -j ACCEPT <eos>
allow incoming TCP traffic on port 508,iptables -A INPUT -p tcp --dport 508 -j ACCEPT <eos>
allow incoming TCP traffic on port 509,iptables -A INPUT -p tcp --dport 509 -j ACCEPT <eos>
allow incoming TCP traffic on port 510,iptables -A INPUT -p tcp --dport 510 -j ACCEPT <eos>
allow incoming TCP traffic on port 511,iptables -A INPUT -p tcp --dport 511 -j ACCEPT <eos>
allow incoming TCP traffic on port 512,iptables -A INPUT -p tcp --dport 512 -j ACCEPT <eos>
allow incoming TCP traffic on port 513,iptables -A INPUT -p tcp --dport 513 -j ACCEPT <eos>
allow incoming TCP traffic on port 514,iptables -A INPUT -p tcp --dport 514 -j ACCEPT <eos>
allow incoming TCP traffic on port 515,iptables -A INPUT -p tcp --dport 515 -j ACCEPT <eos>
allow incoming TCP traffic on port 516,iptables -A INPUT -p tcp --dport 516 -j ACCEPT <eos>
allow incoming TCP traffic on port 517,iptables -A INPUT -p tcp --dport 517 -j ACCEPT <eos>
allow incoming TCP traffic on port 518,iptables -A INPUT -p tcp --dport 518 -j ACCEPT <eos>
allow incoming TCP traffic on port 519,iptables -A INPUT -p tcp --dport 519 -j ACCEPT <eos>
allow incoming TCP traffic on port 520,iptables -A INPUT -p tcp --dport 520 -j ACCEPT <eos>
allow incoming TCP traffic on port 521,iptables -A INPUT -p tcp --dport 521 -j ACCEPT <eos>
allow incoming TCP traffic on port 522,iptables -A INPUT -p tcp --dport 522 -j ACCEPT <eos>
allow incoming TCP traffic on port 523,iptables -A INPUT -p tcp --dport 523 -j ACCEPT <eos>
allow incoming TCP traffic on port 524,iptables -A INPUT -p tcp --dport 524 -j ACCEPT <eos>
allow incoming TCP traffic on port 525,iptables -A INPUT -p tcp --dport 525 -j ACCEPT <eos>
allow incoming TCP traffic on port 526,iptables -A INPUT -p tcp --dport 526 -j ACCEPT <eos>
allow incoming TCP traffic on port 527,iptables -A INPUT -p tcp --dport 527 -j ACCEPT <eos>
allow incoming TCP traffic on port 528,iptables -A INPUT -p tcp --dport 528 -j ACCEPT <eos>
allow incoming TCP traffic on port 529,iptables -A INPUT -p tcp --dport 529 -j ACCEPT <eos>
allow incoming TCP traffic on port 530,iptables -A INPUT -p tcp --dport 530 -j ACCEPT <eos>
allow incoming TCP traffic on port 531,iptables -A INPUT -p tcp --dport 531 -j ACCEPT <eos>
allow incoming TCP traffic on port 532,iptables -A INPUT -p tcp --dport 532 -j ACCEPT <eos>
allow incoming TCP traffic on port 533,iptables -A INPUT -p tcp --dport 533 -j ACCEPT <eos>
allow incoming TCP traffic on port 534,iptables -A INPUT -p tcp --dport 534 -j ACCEPT <eos>
allow incoming TCP traffic on port 535,iptables -A INPUT -p tcp --dport 535 -j ACCEPT <eos>
allow incoming TCP traffic on port 536,iptables -A INPUT -p tcp --dport 536 -j ACCEPT <eos>
allow incoming TCP traffic on port 537,iptables -A INPUT -p tcp --dport 537 -j ACCEPT <eos>
allow incoming TCP traffic on port 538,iptables -A INPUT -p tcp --dport 538 -j ACCEPT <eos>
allow incoming TCP traffic on port 539,iptables -A INPUT -p tcp --dport 539 -j ACCEPT <eos>
allow incoming TCP traffic on port 540,iptables -A INPUT -p tcp --dport 540 -j ACCEPT <eos>
allow incoming TCP traffic on port 541,iptables -A INPUT -p tcp --dport 541 -j ACCEPT <eos>
allow incoming TCP traffic on port 542,iptables -A INPUT -p tcp --dport 542 -j ACCEPT <eos>
allow incoming TCP traffic on port 543,iptables -A INPUT -p tcp --dport 543 -j ACCEPT <eos>
allow incoming TCP traffic on port 544,iptables -A INPUT -p tcp --dport 544 -j ACCEPT <eos>
allow incoming TCP traffic on port 545,iptables -A INPUT -p tcp --dport 545 -j ACCEPT <eos>
allow incoming TCP traffic on port 546,iptables -A INPUT -p tcp --dport 546 -j ACCEPT <eos>
allow incoming TCP traffic on port 547,iptables -A INPUT -p tcp --dport 547 -j ACCEPT <eos>
allow incoming TCP traffic on port 548,iptables -A INPUT -p tcp --dport 548 -j ACCEPT <eos>
allow incoming TCP traffic on port 549,iptables -A INPUT -p tcp --dport 549 -j ACCEPT <eos>
allow incoming TCP traffic on port 550,iptables -A INPUT -p tcp --dport 550 -j ACCEPT <eos>
allow incoming TCP traffic on port 551,iptables -A INPUT -p tcp --dport 551 -j ACCEPT <eos>
allow incoming TCP traffic on port 552,iptables -A INPUT -p tcp --dport 552 -j ACCEPT <eos>
allow incoming TCP traffic on port 553,iptables -A INPUT -p tcp --dport 553 -j ACCEPT <eos>
allow incoming TCP traffic on port 554,iptables -A INPUT -p tcp --dport 554 -j ACCEPT <eos>
allow incoming TCP traffic on port 555,iptables -A INPUT -p tcp --dport 555 -j ACCEPT <eos>
allow incoming TCP traffic on port 556,iptables -A INPUT -p tcp --dport 556 -j ACCEPT <eos>
allow incoming TCP traffic on port 557,iptables -A INPUT -p tcp --dport 557 -j ACCEPT <eos>
allow incoming TCP traffic on port 558,iptables -A INPUT -p tcp --dport 558 -j ACCEPT <eos>
allow incoming TCP traffic on port 559,iptables -A INPUT -p tcp --dport 559 -j ACCEPT <eos>
allow incoming TCP traffic on port 560,iptables -A INPUT -p tcp --dport 560 -j ACCEPT <eos>
allow incoming TCP traffic on port 561,iptables -A INPUT -p tcp --dport 561 -j ACCEPT <eos>
allow incoming TCP traffic on port 562,iptables -A INPUT -p tcp --dport 562 -j ACCEPT <eos>
allow incoming TCP traffic on port 563,iptables -A INPUT -p tcp --dport 563 -j ACCEPT <eos>
allow incoming TCP traffic on port 564,iptables -A INPUT -p tcp --dport 564 -j ACCEPT <eos>
allow incoming TCP traffic on port 565,iptables -A INPUT -p tcp --dport 565 -j ACCEPT <eos>
allow incoming TCP traffic on port 566,iptables -A INPUT -p tcp --dport 566 -j ACCEPT <eos>
allow incoming TCP traffic on port 567,iptables -A INPUT -p tcp --dport 567 -j ACCEPT <eos>
allow incoming TCP traffic on port 568,iptables -A INPUT -p tcp --dport 568 -j ACCEPT <eos>
allow incoming TCP traffic on port 569,iptables -A INPUT -p tcp --dport 569 -j ACCEPT <eos>
allow incoming TCP traffic on port 570,iptables -A INPUT -p tcp --dport 570 -j ACCEPT <eos>
allow incoming TCP traffic on port 571,iptables -A INPUT -p tcp --dport 571 -j ACCEPT <eos>
allow incoming TCP traffic on port 572,iptables -A INPUT -p tcp --dport 572 -j ACCEPT <eos>
allow incoming TCP traffic on port 573,iptables -A INPUT -p tcp --dport 573 -j ACCEPT <eos>
allow incoming TCP traffic on port 574,iptables -A INPUT -p tcp --dport 574 -j ACCEPT <eos>
allow incoming TCP traffic on port 575,iptables -A INPUT -p tcp --dport 575 -j ACCEPT <eos>
allow incoming TCP traffic on port 576,iptables -A INPUT -p tcp --dport 576 -j ACCEPT <eos>
allow incoming TCP traffic on port 577,iptables -A INPUT -p tcp --dport 577 -j ACCEPT <eos>
allow incoming TCP traffic on port 578,iptables -A INPUT -p tcp --dport 578 -j ACCEPT <eos>
allow incoming TCP traffic on port 579,iptables -A INPUT -p tcp --dport 579 -j ACCEPT <eos>
allow incoming TCP traffic on port 580,iptables -A INPUT -p tcp --dport 580 -j ACCEPT <eos>
allow incoming TCP traffic on port 581,iptables -A INPUT -p tcp --dport 581 -j ACCEPT <eos>
allow incoming TCP traffic on port 582,iptables -A INPUT -p tcp --dport 582 -j ACCEPT <eos>
allow incoming TCP traffic on port 583,iptables -A INPUT -p tcp --dport 583 -j ACCEPT <eos>
allow incoming TCP traffic on port 584,iptables -A INPUT -p tcp --dport 584 -j ACCEPT <eos>
allow incoming TCP traffic on port 585,iptables -A INPUT -p tcp --dport 585 -j ACCEPT <eos>
allow incoming TCP traffic on port 586,iptables -A INPUT -p tcp --dport 586 -j ACCEPT <eos>
allow incoming TCP traffic on port 587,iptables -A INPUT -p tcp --dport 587 -j ACCEPT <eos>
allow incoming TCP traffic on port 588,iptables -A INPUT -p tcp --dport 588 -j ACCEPT <eos>
allow incoming TCP traffic on port 589,iptables -A INPUT -p tcp --dport 589 -j ACCEPT <eos>
allow incoming TCP traffic on port 590,iptables -A INPUT -p tcp --dport 590 -j ACCEPT <eos>
allow incoming TCP traffic on port 591,iptables -A INPUT -p tcp --dport 591 -j ACCEPT <eos>
allow incoming TCP traffic on port 592,iptables -A INPUT -p tcp --dport 592 -j ACCEPT <eos>
allow incoming TCP traffic on port 593,iptables -A INPUT -p tcp --dport 593 -j ACCEPT <eos>
allow incoming TCP traffic on port 594,iptables -A INPUT -p tcp --dport 594 -j ACCEPT <eos>
allow incoming TCP traffic on port 595,iptables -A INPUT -p tcp --dport 595 -j ACCEPT <eos>
allow incoming TCP traffic on port 596,iptables -A INPUT -p tcp --dport 596 -j ACCEPT <eos>
allow incoming TCP traffic on port 597,iptables -A INPUT -p tcp --dport 597 -j ACCEPT <eos>
allow incoming TCP traffic on port 598,iptables -A INPUT -p tcp --dport 598 -j ACCEPT <eos>
allow incoming TCP traffic on port 599,iptables -A INPUT -p tcp --dport 599 -j ACCEPT <eos>
allow incoming TCP traffic on port 600,iptables -A INPUT -p tcp --dport 600 -j ACCEPT <eos>
allow incoming TCP traffic on port 601,iptables -A INPUT -p tcp --dport 601 -j ACCEPT <eos>
allow incoming TCP traffic on port 602,iptables -A INPUT -p tcp --dport 602 -j ACCEPT <eos>
allow incoming TCP traffic on port 603,iptables -A INPUT -p tcp --dport 603 -j ACCEPT <eos>
allow incoming TCP traffic on port 604,iptables -A INPUT -p tcp --dport 604 -j ACCEPT <eos>
allow incoming TCP traffic on port 605,iptables -A INPUT -p tcp --dport 605 -j ACCEPT <eos>
allow incoming TCP traffic on port 606,iptables -A INPUT -p tcp --dport 606 -j ACCEPT <eos>
allow incoming TCP traffic on port 607,iptables -A INPUT -p tcp --dport 607 -j ACCEPT <eos>
allow incoming TCP traffic on port 608,iptables -A INPUT -p tcp --dport 608 -j ACCEPT <eos>
allow incoming TCP traffic on port 609,iptables -A INPUT -p tcp --dport 609 -j ACCEPT <eos>
allow incoming TCP traffic on port 610,iptables -A INPUT -p tcp --dport 610 -j ACCEPT <eos>
allow incoming TCP traffic on port 611,iptables -A INPUT -p tcp --dport 611 -j ACCEPT <eos>
allow incoming TCP traffic on port 612,iptables -A INPUT -p tcp --dport 612 -j ACCEPT <eos>
allow incoming TCP traffic on port 613,iptables -A INPUT -p tcp --dport 613 -j ACCEPT <eos>
allow incoming TCP traffic on port 614,iptables -A INPUT -p tcp --dport 614 -j ACCEPT <eos>
allow incoming TCP traffic on port 615,iptables -A INPUT -p tcp --dport 615 -j ACCEPT <eos>
allow incoming TCP traffic on port 616,iptables -A INPUT -p tcp --dport 616 -j ACCEPT <eos>
allow incoming TCP traffic on port 617,iptables -A INPUT -p tcp --dport 617 -j ACCEPT <eos>
allow incoming TCP traffic on port 618,iptables -A INPUT -p tcp --dport 618 -j ACCEPT <eos>
allow incoming TCP traffic on port 619,iptables -A INPUT -p tcp --dport 619 -j ACCEPT <eos>
allow incoming TCP traffic on port 620,iptables -A INPUT -p tcp --dport 620 -j ACCEPT <eos>
allow incoming TCP traffic on port 621,iptables -A INPUT -p tcp --dport 621 -j ACCEPT <eos>
allow incoming TCP traffic on port 622,iptables -A INPUT -p tcp --dport 622 -j ACCEPT <eos>
allow incoming TCP traffic on port 623,iptables -A INPUT -p tcp --dport 623 -j ACCEPT <eos>
allow incoming TCP traffic on port 624,iptables -A INPUT -p tcp --dport 624 -j ACCEPT <eos>
allow incoming TCP traffic on port 625,iptables -A INPUT -p tcp --dport 625 -j ACCEPT <eos>
allow incoming TCP traffic on port 626,iptables -A INPUT -p tcp --dport 626 -j ACCEPT <eos>
allow incoming TCP traffic on port 627,iptables -A INPUT -p tcp --dport 627 -j ACCEPT <eos>
allow incoming TCP traffic on port 628,iptables -A INPUT -p tcp --dport 628 -j ACCEPT <eos>
allow incoming TCP traffic on port 629,iptables -A INPUT -p tcp --dport 629 -j ACCEPT <eos>
allow incoming TCP traffic on port 630,iptables -A INPUT -p tcp --dport 630 -j ACCEPT <eos>
allow incoming TCP traffic on port 631,iptables -A INPUT -p tcp --dport 631 -j ACCEPT <eos>
allow incoming TCP traffic on port 632,iptables -A INPUT -p tcp --dport 632 -j ACCEPT <eos>
allow incoming TCP traffic on port 633,iptables -A INPUT -p tcp --dport 633 -j ACCEPT <eos>
allow incoming TCP traffic on port 634,iptables -A INPUT -p tcp --dport 634 -j ACCEPT <eos>
allow incoming TCP traffic on port 635,iptables -A INPUT -p tcp --dport 635 -j ACCEPT <eos>
allow incoming TCP traffic on port 636,iptables -A INPUT -p tcp --dport 636 -j ACCEPT <eos>
allow incoming TCP traffic on port 637,iptables -A INPUT -p tcp --dport 637 -j ACCEPT <eos>
allow incoming TCP traffic on port 638,iptables -A INPUT -p tcp --dport 638 -j ACCEPT <eos>
allow incoming TCP traffic on port 639,iptables -A INPUT -p tcp --dport 639 -j ACCEPT <eos>
allow incoming TCP traffic on port 640,iptables -A INPUT -p tcp --dport 640 -j ACCEPT <eos>
allow incoming TCP traffic on port 641,iptables -A INPUT -p tcp --dport 641 -j ACCEPT <eos>
allow incoming TCP traffic on port 642,iptables -A INPUT -p tcp --dport 642 -j ACCEPT <eos>
allow incoming TCP traffic on port 643,iptables -A INPUT -p tcp --dport 643 -j ACCEPT <eos>
allow incoming TCP traffic on port 644,iptables -A INPUT -p tcp --dport 644 -j ACCEPT <eos>
allow incoming TCP traffic on port 645,iptables -A INPUT -p tcp --dport 645 -j ACCEPT <eos>
allow incoming TCP traffic on port 646,iptables -A INPUT -p tcp --dport 646 -j ACCEPT <eos>
allow incoming TCP traffic on port 647,iptables -A INPUT -p tcp --dport 647 -j ACCEPT <eos>
allow incoming TCP traffic on port 648,iptables -A INPUT -p tcp --dport 648 -j ACCEPT <eos>
allow incoming TCP traffic on port 649,iptables -A INPUT -p tcp --dport 649 -j ACCEPT <eos>
allow incoming TCP traffic on port 650,iptables -A INPUT -p tcp --dport 650 -j ACCEPT <eos>
allow incoming TCP traffic on port 651,iptables -A INPUT -p tcp --dport 651 -j ACCEPT <eos>
allow incoming TCP traffic on port 652,iptables -A INPUT -p tcp --dport 652 -j ACCEPT <eos>
allow incoming TCP traffic on port 653,iptables -A INPUT -p tcp --dport 653 -j ACCEPT <eos>
allow incoming TCP traffic on port 654,iptables -A INPUT -p tcp --dport 654 -j ACCEPT <eos>
allow incoming TCP traffic on port 655,iptables -A INPUT -p tcp --dport 655 -j ACCEPT <eos>
allow incoming TCP traffic on port 656,iptables -A INPUT -p tcp --dport 656 -j ACCEPT <eos>
allow incoming TCP traffic on port 657,iptables -A INPUT -p tcp --dport 657 -j ACCEPT <eos>
allow incoming TCP traffic on port 658,iptables -A INPUT -p tcp --dport 658 -j ACCEPT <eos>
allow incoming TCP traffic on port 659,iptables -A INPUT -p tcp --dport 659 -j ACCEPT <eos>
allow incoming TCP traffic on port 660,iptables -A INPUT -p tcp --dport 660 -j ACCEPT <eos>
allow incoming TCP traffic on port 661,iptables -A INPUT -p tcp --dport 661 -j ACCEPT <eos>
allow incoming TCP traffic on port 662,iptables -A INPUT -p tcp --dport 662 -j ACCEPT <eos>
allow incoming TCP traffic on port 663,iptables -A INPUT -p tcp --dport 663 -j ACCEPT <eos>
allow incoming TCP traffic on port 664,iptables -A INPUT -p tcp --dport 664 -j ACCEPT <eos>
allow incoming TCP traffic on port 665,iptables -A INPUT -p tcp --dport 665 -j ACCEPT <eos>
allow incoming TCP traffic on port 666,iptables -A INPUT -p tcp --dport 666 -j ACCEPT <eos>
allow incoming TCP traffic on port 667,iptables -A INPUT -p tcp --dport 667 -j ACCEPT <eos>
allow incoming TCP traffic on port 668,iptables -A INPUT -p tcp --dport 668 -j ACCEPT <eos>
allow incoming TCP traffic on port 669,iptables -A INPUT -p tcp --dport 669 -j ACCEPT <eos>
allow incoming TCP traffic on port 670,iptables -A INPUT -p tcp --dport 670 -j ACCEPT <eos>
allow incoming TCP traffic on port 671,iptables -A INPUT -p tcp --dport 671 -j ACCEPT <eos>
allow incoming TCP traffic on port 672,iptables -A INPUT -p tcp --dport 672 -j ACCEPT <eos>
allow incoming TCP traffic on port 673,iptables -A INPUT -p tcp --dport 673 -j ACCEPT <eos>
allow incoming TCP traffic on port 674,iptables -A INPUT -p tcp --dport 674 -j ACCEPT <eos>
allow incoming TCP traffic on port 675,iptables -A INPUT -p tcp --dport 675 -j ACCEPT <eos>
allow incoming TCP traffic on port 676,iptables -A INPUT -p tcp --dport 676 -j ACCEPT <eos>
allow incoming TCP traffic on port 677,iptables -A INPUT -p tcp --dport 677 -j ACCEPT <eos>
allow incoming TCP traffic on port 678,iptables -A INPUT -p tcp --dport 678 -j ACCEPT <eos>
allow incoming TCP traffic on port 679,iptables -A INPUT -p tcp --dport 679 -j ACCEPT <eos>
allow incoming TCP traffic on port 680,iptables -A INPUT -p tcp --dport 680 -j ACCEPT <eos>
allow incoming TCP traffic on port 681,iptables -A INPUT -p tcp --dport 681 -j ACCEPT <eos>
allow incoming TCP traffic on port 682,iptables -A INPUT -p tcp --dport 682 -j ACCEPT <eos>
allow incoming TCP traffic on port 683,iptables -A INPUT -p tcp --dport 683 -j ACCEPT <eos>
allow incoming TCP traffic on port 684,iptables -A INPUT -p tcp --dport 684 -j ACCEPT <eos>
allow incoming TCP traffic on port 685,iptables -A INPUT -p tcp --dport 685 -j ACCEPT <eos>
allow incoming TCP traffic on port 686,iptables -A INPUT -p tcp --dport 686 -j ACCEPT <eos>
allow incoming TCP traffic on port 687,iptables -A INPUT -p tcp --dport 687 -j ACCEPT <eos>
allow incoming TCP traffic on port 688,iptables -A INPUT -p tcp --dport 688 -j ACCEPT <eos>
allow incoming TCP traffic on port 689,iptables -A INPUT -p tcp --dport 689 -j ACCEPT <eos>
allow incoming TCP traffic on port 690,iptables -A INPUT -p tcp --dport 690 -j ACCEPT <eos>
allow incoming TCP traffic on port 691,iptables -A INPUT -p tcp --dport 691 -j ACCEPT <eos>
allow incoming TCP traffic on port 692,iptables -A INPUT -p tcp --dport 692 -j ACCEPT <eos>
allow incoming TCP traffic on port 693,iptables -A INPUT -p tcp --dport 693 -j ACCEPT <eos>
allow incoming TCP traffic on port 694,iptables -A INPUT -p tcp --dport 694 -j ACCEPT <eos>
allow incoming TCP traffic on port 695,iptables -A INPUT -p tcp --dport 695 -j ACCEPT <eos>
allow incoming TCP traffic on port 696,iptables -A INPUT -p tcp --dport 696 -j ACCEPT <eos>
allow incoming TCP traffic on port 697,iptables -A INPUT -p tcp --dport 697 -j ACCEPT <eos>
allow incoming TCP traffic on port 698,iptables -A INPUT -p tcp --dport 698 -j ACCEPT <eos>
allow incoming TCP traffic on port 699,iptables -A INPUT -p tcp --dport 699 -j ACCEPT <eos>
allow incoming TCP traffic on port 700,iptables -A INPUT -p tcp --dport 700 -j ACCEPT <eos>
allow incoming TCP traffic on port 701,iptables -A INPUT -p tcp --dport 701 -j ACCEPT <eos>
allow incoming TCP traffic on port 702,iptables -A INPUT -p tcp --dport 702 -j ACCEPT <eos>
allow incoming TCP traffic on port 703,iptables -A INPUT -p tcp --dport 703 -j ACCEPT <eos>
allow incoming TCP traffic on port 704,iptables -A INPUT -p tcp --dport 704 -j ACCEPT <eos>
allow incoming TCP traffic on port 705,iptables -A INPUT -p tcp --dport 705 -j ACCEPT <eos>
allow incoming TCP traffic on port 706,iptables -A INPUT -p tcp --dport 706 -j ACCEPT <eos>
allow incoming TCP traffic on port 707,iptables -A INPUT -p tcp --dport 707 -j ACCEPT <eos>
